correct value,prediction
1.0,1.0149319
0.0,0.34583122
1.0,1.518574
1.0,0.58426434
1.0,0.91964096
0.0,0.24243474
0.0,0.31729734
1.0,1.0560625
0.0,0.32380772
0.0,0.35107234
0.0,0.32545787
1.0,0.3739114
1.0,0.35174006
0.0,0.26772305
0.0,0.2884078
1.0,0.54130566
0.0,0.20009571
1.0,0.39100742
1.0,0.49185735
0.0,0.36686078
1.0,0.40380675
1.0,1.0758431
0.0,0.22672212
0.0,0.27536273
0.0,0.3052087
0.0,0.30899894
0.0,0.2854039
0.0,0.2608174
1.0,1.4915731
0.0,0.19295162
0.0,0.26585335
1.0,0.5310692
0.0,0.19808829
1.0,0.61790276
1.0,1.0649321
1.0,1.145076
0.0,0.16991755
1.0,0.35401306
0.0,0.3086732
1.0,0.4421885
1.0,0.3586664
0.0,0.36390626
1.0,0.5028125
1.0,0.87243724
0.0,0.31879342
0.0,0.2407245
1.0,0.7151393
0.0,0.26096117
1.0,0.6046596
1.0,0.6419248
1.0,0.4456938
1.0,0.3913365
1.0,1.1119208
1.0,0.4787367
1.0,0.83161765
1.0,2.3348513
1.0,0.7962006
0.0,0.18454874
1.0,0.9444253
1.0,0.43488747
1.0,0.36987662
1.0,0.3640554
0.0,0.34990358
0.0,0.2110591
1.0,1.596926
1.0,0.71641606
1.0,0.6217724
0.0,0.35920313
0.0,0.32553026
0.0,0.30738163
0.0,0.07864633
1.0,1.3662815
1.0,0.90665597
0.0,0.35276604
1.0,1.1310141
0.0,0.22981009
1.0,0.36604044
0.0,0.26478112
1.0,0.48719114
1.0,0.4089766
1.0,0.6151958
0.0,0.32303548
0.0,0.35539082
1.0,0.8212282
0.0,0.32835305
1.0,0.48559487
0.0,0.3598421
1.0,1.2216387
0.0,0.15884128
1.0,0.3567679
1.0,0.38551158
0.0,0.22649908
0.0,0.2289963
0.0,0.23262805
0.0,0.3222433
1.0,1.6166492
1.0,0.94886965
1.0,0.79352456
0.0,0.15639648
0.0,0.23147374
1.0,1.9476519
1.0,0.45719433
0.0,0.26779225
1.0,0.33436668
1.0,1.0090873
1.0,0.56512505
1.0,1.0994129
1.0,0.9795787
1.0,0.46430445
1.0,0.42083615
1.0,0.33070314
1.0,0.7898154
0.0,0.24686837
1.0,1.446657
1.0,1.2933168
0.0,0.194938
1.0,0.36882988
0.0,0.23499274
1.0,1.750519
1.0,0.94631416
1.0,0.5496278
1.0,1.6835485
1.0,0.3820899
0.0,0.17437041
0.0,0.17240918
1.0,0.8455337
1.0,0.35431778
0.0,0.22410333
1.0,0.46078783
1.0,0.37863517
0.0,0.24378538
0.0,0.17171723
1.0,1.3187864
1.0,0.73959035
1.0,0.43231362
0.0,0.21848583
0.0,0.30014172
1.0,1.2545621
1.0,1.5852432
1.0,0.40310907
1.0,0.29443252
1.0,1.4364982
1.0,0.7081792
0.0,0.21112025
0.0,0.29809254
1.0,0.5767299
1.0,0.5275025
1.0,0.6476672
0.0,0.30319414
1.0,0.7176029
0.0,0.26028097
1.0,1.1448989
1.0,0.7246222
1.0,0.47473478
1.0,0.7287577
1.0,0.46020168
0.0,0.23729333
1.0,1.0725143
1.0,1.0424545
0.0,0.29221413
1.0,0.70087343
0.0,0.22078288
0.0,0.20561057
0.0,0.25321376
1.0,1.0021071
1.0,2.35006
0.0,0.28559288
1.0,0.41433865
1.0,1.5819693
1.0,0.6365251
1.0,0.40836495
0.0,0.24539945
1.0,1.2075822
1.0,1.7361825
0.0,0.23744592
1.0,0.9497146
1.0,0.71057576
1.0,0.4369176
0.0,0.22731933
0.0,0.27372247
0.0,0.22897005
1.0,0.64976126
0.0,0.2862594
0.0,0.21634173
1.0,0.90786237
0.0,0.18444097
1.0,1.536833
1.0,1.8572862
1.0,1.0313392
0.0,0.23060358
0.0,0.35137874
0.0,0.29314116
1.0,1.7690654
0.0,0.28993666
0.0,0.26254994
0.0,0.26786882
0.0,0.2847669
1.0,1.1871953
1.0,0.41274673
1.0,1.5555103
0.0,0.2356736
0.0,0.33690754
1.0,0.7359978
0.0,0.17946196
1.0,0.88350517
1.0,1.5406964
1.0,0.71685964
0.0,0.22246063
1.0,0.74662113
1.0,0.40155715
1.0,1.5694778
1.0,2.0557044
0.0,0.20916608
0.0,0.24015361
1.0,0.6570897
1.0,1.6255574
